0	42	143	100	112	186	354	148	235	326	320	534	451	670	573	370	329	255	378	461	456	628	596
42	0	129	125	152	309	399	148	274	328	333	525	441	676	634	408	341	310	435	517	492	692	663
143	129	0	219	253	310	475	136	373	307	261	502	430	562	714	608	462	505	438	495	615	736	738
100	125	219	0	232	216	409	60	144	242	247	488	354	507	677	521	326	196	291	370	478	772	619
112	152	253	232	0	83	272	226	245	341	416	607	523	502	480	285	190	172	283	362	340	453	504
186	309	310	216	83	0	200	312	199	260	466	661	448	421	398	262	110	95	202	281	259	456	423
354	399	475	409	272	200	0	465	377	447	645	859	628	568	468	347	180	284	271	350	138	251	309
148	148	121	60	226	312	465	0	139	207	182	374	295	525	583	332	351	277	394	446	507	622	589
235	274	258	144	245	199	377	139	0	102	281	495	266	361	376	191	253	143	239	314	399	498	456
326	328	299	242	341	260	447	207	102	0	292	380	161	205	325	142	264	171	234	270	419	507	399
320	333	228	247	416	466	645	182	281	292	0	209	239	478	536	406	519	418	482	534	712	709	676
534	525	434	488	607	661	859	374	495	399	209	0	225	451	507	513	644	571	588	638	818	812	758
451	441	406	354	523	448	628	295	266	161	239	225	0	248	290	282	426	356	354	406	585	582	538
670	676	504	507	502	421	568	525	361	268	478	451	248	0	111	236	374	332	296	237	484	375	353
573	634	714	677	480	398	468	583	376	325	536	523	290	111	0	214	294	311	195	135	337	317	301
370	408	441	521	285	262	347	332	191	142	406	507	282	236	214	0	163	114	76	126	331	301	256
329	341	390	326	190	110	180	351	253	264	519	644	426	374	294	173	0	131	120	216	158	270	316
255	310	401	196	172	95	284	277	143	171	418	571	356	332	311	114	131	0	117	208	254	383	350
378	435	437	291	283	202	271	394	239	234	482	590	354	296	195	76	120	117	0	77	257	251	219
461	517	493	370	362	281	350	446	314	270	534	638	406	237	135	126	216	208	77	0	204	194	168
456	492	601	478	340	259	138	507	399	419	712	818	585	484	337	331	158	254	257	204	0	114	173
628	692	667	772	453	456	251	622	498	507	709	812	582	375	317	301	270	383	251	194	114	0	64
596	663	691	619	504	423	309	589	456	399	676	758	538	353	301	256	316	350	218	168	173	64	0
